iter	Logloss
0	0.5965045039
1	0.5172511721
2	0.4555500718
3	0.4031647418
4	0.3633518336
5	0.3303400184
6	0.3045023673
7	0.2851007749
8	0.2639037317
9	0.2484182232
10	0.2369122759
11	0.2249883325
12	0.2131288775
13	0.2050139962
14	0.1960936665
15	0.1887108741
16	0.1823304426
17	0.1774687529
18	0.1714075607
19	0.1657888393
20	0.1624182165
21	0.1595659077
22	0.1555852716
23	0.1528841948
24	0.1505584254
25	0.1477919907
26	0.1453796219
27	0.143200412
28	0.1417302056
29	0.1396841715
30	0.1382559595
31	0.1358592118
32	0.1342152023
33	0.1328495573
34	0.1318056266
35	0.1306347643
36	0.1291102916
37	0.128140486
38	0.1272722195
39	0.1262408673
40	0.1252077985
41	0.1243009565
42	0.1234566252
43	0.122861683
44	0.1218685237
45	0.1203065503
46	0.1195312535
47	0.1179930731
48	0.1173431298
49	0.1167132949
50	0.1159709436
51	0.1155455846
52	0.114990025
53	0.1142746099
54	0.1133046767
55	0.1129538705
56	0.1123837588
57	0.1114098337
58	0.1112723693
59	0.1107657293
60	0.110505776
61	0.1101674504
62	0.1093790552
63	0.1090017407
64	0.1086203203
65	0.1082594874
66	0.1072986649
67	0.1070201701
68	0.1064514124
69	0.1062231663
70	0.1060406628
71	0.1058282436
72	0.1055514571
73	0.1052569471
74	0.1049874293
75	0.1046382317
76	0.1043015505
77	0.104065665
78	0.1036115863
79	0.1034072909
80	0.1030520685
81	0.102715582
82	0.1018978306
83	0.1016506331
84	0.1014392966
85	0.1012329893
86	0.1007144017
87	0.1001206301
88	0.09986652654
89	0.09966207307
90	0.09951398784
91	0.09937759915
92	0.09926687773
93	0.09918168442
94	0.09889561357
95	0.09877973172
96	0.0986256932
97	0.09852300153
98	0.09835172354
99	0.09820784025
100	0.09801493875
101	0.09785402925
102	0.09760390629
103	0.09740522447
104	0.09701106027
105	0.09690988222
106	0.09675457541
107	0.09663881291
108	0.09643234953
109	0.0963426923
110	0.09618025714
111	0.09574224345
112	0.09555132939
113	0.09545743361
114	0.09529826016
115	0.09460917578
116	0.09445272544
117	0.09426371828
118	0.09413319387
119	0.09394887347
120	0.09385131411
121	0.09373644482
122	0.09355517475
123	0.09335266617
124	0.09313205344
125	0.09298084278
126	0.09279876454
127	0.09266428648
128	0.09251616548
129	0.09243709724
130	0.0923488018
131	0.09225266488
132	0.09218537183
133	0.09204150577
134	0.09188949984
135	0.09178368884
136	0.09171414329
137	0.09152682835
138	0.09139335266
139	0.09128559714
140	0.09119394926
141	0.09106707315
142	0.09100463517
143	0.09094221806
144	0.09087280052
145	0.09077691973
146	0.09035939939
147	0.09026041734
148	0.09013297691
149	0.09007314757
150	0.09002476696
151	0.08993758777
152	0.0898587616
153	0.08969010477
154	0.08948507024
155	0.08935718086
156	0.0893005589
157	0.08924147515
158	0.08916555447
159	0.08901678193
160	0.08895598058
161	0.0888654607
162	0.08880785927
163	0.08846910408
164	0.08816363916
165	0.08808314925
166	0.08802178591
167	0.08795247669
168	0.0878978411
169	0.08779803578
170	0.08771207155
171	0.08759259133
172	0.08750999838
173	0.08720933361
174	0.08715514072
175	0.08703783353
176	0.08698903137
177	0.0868460686
178	0.08675823323
179	0.08672216279
180	0.08664980866
181	0.08660609709
182	0.08647169635
183	0.08640121508
184	0.08633122597
185	0.08626104937
186	0.08615634412
187	0.08610204788
188	0.08602276884
189	0.08595829469
190	0.08593536138
